,Value,SpatialDim,TimeDim,IndicatorCode,SpatialDimType,Comments
0,600.0784823284823,AGO,2000,Precipitation,COUNTRY,
0,1226.5150146484375,AND,2000,Precipitation,COUNTRY,
0,242.2834797657082,DZA,2000,Precipitation,COUNTRY,
0,1005.27078125,ALB,2000,Precipitation,COUNTRY,
0,737.0588114754098,AFG,2000,Precipitation,COUNTRY,
0,1145.6099853515625,SXM,2000,Precipitation,COUNTRY,
0,2987.23486328125,TUV,2000,Precipitation,COUNTRY,
0,6.518098608847776,ZWE,2001,Precipitation,COUNTRY,
0,411.00536003236243,ZMB,2001,Precipitation,COUNTRY,
0,1183.6274967783504,YEM,2001,Precipitation,COUNTRY,
0,635.5913223870057,VNM,2001,Precipitation,COUNTRY,
0,2409.2501675603216,VEN,2001,Precipitation,COUNTRY,
0,929.9600219726562,VAT,2001,Precipitation,COUNTRY,
0,1219.2974537037037,VUT,2001,Precipitation,COUNTRY,
0,1277.5344101123596,UZB,2001,Precipitation,COUNTRY,
0,1401.2402777777777,URY,2001,Precipitation,COUNTRY,
0,3359.883984375,FSM,2001,Precipitation,COUNTRY,
0,2955.2996651785716,MHL,2001,Precipitation,COUNTRY,
0,975.6419839679359,USA,2001,Precipitation,COUNTRY,
0,1472.0899658203125,IOT,2001,Precipitation,COUNTRY,
0,1084.5018601190477,FLK,2001,Precipitation,COUNTRY,
0,1108.9100341796875,JEY,2001,Precipitation,COUNTRY,
0,1095.675048828125,GGY,2001,Precipitation,COUNTRY,
0,989.77001953125,IMN,2001,Precipitation,COUNTRY,
0,1011.4365596064815,GBR,2001,Precipitation,COUNTRY,
0,801.8116824127907,ARE,2001,Precipitation,COUNTRY,
0,1104.0593388728323,UKR,2001,Precipitation,COUNTRY,
0,1473.8759101941748,UGA,2001,Precipitation,COUNTRY,
0,1147.2791748046875,TKM,2001,Precipitation,COUNTRY,
0,1123.0319620253165,TUR,2001,Precipitation,COUNTRY,
0,412.5338961693548,TUN,2001,Precipitation,COUNTRY,
0,1942.1170479910713,TTO,2001,Precipitation,COUNTRY,
0,822.6824951171875,TON,2001,Precipitation,COUNTRY,
0,91.49285016741071,TGO,2001,Precipitation,COUNTRY,
0,2757.2431640625,TLS,2001,Precipitation,COUNTRY,
0,1031.2146045918366,THA,2001,Precipitation,COUNTRY,
0,1310.6809210526317,TZA,2001,Precipitation,COUNTRY,
0,1098.3858730670104,TJK,2001,Precipitation,COUNTRY,
0,270.4512532552083,TWN,2001,Precipitation,COUNTRY,
0,1090.3844209558824,SYR,2001,Precipitation,COUNTRY,
0,1098.2969805743244,CHE,2001,Precipitation,COUNTRY,
0,699.3300128534704,SWE,2001,Precipitation,COUNTRY,
0,1.3321428298950195,SWZ,2001,Precipitation,COUNTRY,
0,2573.401278409091,SUR,2001,Precipitation,COUNTRY,
0,1199.7391732283465,SSD,2001,Precipitation,COUNTRY,
0,1116.0121026011561,SDN,2001,Precipitation,COUNTRY,
0,2542.0753800675675,LKA,2001,Precipitation,COUNTRY,
0,1224.4172413793103,ESP,2001,Precipitation,COUNTRY,
0,636.9970552884615,KOR,2001,Precipitation,COUNTRY,
0,70.00508907710281,ZAF,2001,Precipitation,COUNTRY,
0,619.5330904447115,SOM,2001,Precipitation,COUNTRY,
0,825.8780324835526,-99,2001,Precipitation,COUNTRY,
0,2697.5907451923076,SLB,2001,Precipitation,COUNTRY,
0,1120.85703125,SVK,2001,Precipitation,COUNTRY,
0,1122.1549479166667,SVN,2001,Precipitation,COUNTRY,
0,2954.72998046875,SGP,2001,Precipitation,COUNTRY,
0,164.04473198784723,SLE,2001,Precipitation,COUNTRY,
0,680.2449951171875,SYC,2001,Precipitation,COUNTRY,
0,1012.2447443181818,SRB,2001,Precipitation,COUNTRY,
0,205.7493821747449,SEN,2001,Precipitation,COUNTRY,
0,930.2354707792208,SAU,2001,Precipitation,COUNTRY,
0,1160.86669921875,STP,2001,Precipitation,COUNTRY,
0,1064.719970703125,SMR,2001,Precipitation,COUNTRY,
0,866.5037841796875,WSM,2001,Precipitation,COUNTRY,
0,1864.06494140625,VCT,2001,Precipitation,COUNTRY,
0,1924.257568359375,LCA,2001,Precipitation,COUNTRY,
0,1336.510009765625,KNA,2001,Precipitation,COUNTRY,
0,1978.55126953125,RWA,2001,Precipitation,COUNTRY,
0,806.3698005257461,RUS,2001,Precipitation,COUNTRY,
0,1016.1994680851063,ROU,2001,Precipitation,COUNTRY,
0,1087.5900390625,QAT,2001,Precipitation,COUNTRY,
0,1327.529098731884,PRT,2001,Precipitation,COUNTRY,
0,1040.0306218592964,POL,2001,Precipitation,COUNTRY,
0,1142.4141292735044,PHL,2001,Precipitation,COUNTRY,
0,2514.633595284872,PER,2001,Precipitation,COUNTRY,
0,782.4328571428572,PRY,2001,Precipitation,COUNTRY,
0,3292.9434865900384,PNG,2001,Precipitation,COUNTRY,
0,566.7539445465686,PAN,2001,Precipitation,COUNTRY,
0,2607.2332356770835,PLW,2001,Precipitation,COUNTRY,
0,777.7217592592592,PAK,2001,Precipitation,COUNTRY,
0,685.2023909395973,OMN,2001,Precipitation,COUNTRY,
0,429.37511042402826,NOR,2001,Precipitation,COUNTRY,
0,795.333984375,PRK,2001,Precipitation,COUNTRY,
0,200.07251602564102,NGA,2001,Precipitation,COUNTRY,
0,145.10409946236558,NER,2001,Precipitation,COUNTRY,
0,178.71095275878906,NIC,2001,Precipitation,COUNTRY,
0,1855.7592005076142,NZL,2001,Precipitation,COUNTRY,
0,1004.1309523809524,NLD,2001,Precipitation,COUNTRY,
0,2412.237548828125,ABW,2001,Precipitation,COUNTRY,
0,2046.89990234375,CUW,2001,Precipitation,COUNTRY,
0,546.384384527439,NPL,2001,Precipitation,COUNTRY,
0,2254.820068359375,NRU,2001,Precipitation,COUNTRY,
0,3.8994133465450878,NAM,2001,Precipitation,COUNTRY,
0,335.9998653017241,MOZ,2001,Precipitation,COUNTRY,
0,520.7229352678571,MAR,2001,Precipitation,COUNTRY,
0,989.3352481617648,MNE,2001,Precipitation,COUNTRY,
0,1188.4506894484412,MNG,2001,Precipitation,COUNTRY,
0,1041.132533482143,MDA,2001,Precipitation,COUNTRY,
0,1133.5899658203125,MCO,2001,Precipitation,COUNTRY,
0,518.3873538011696,MEX,2001,Precipitation,COUNTRY,
0,1.9260000228881835,MUS,2001,Precipitation,COUNTRY,
0,256.73161764705884,MRT,2001,Precipitation,COUNTRY,
0,451.7666829427083,MLT,2001,Precipitation,COUNTRY,
0,156.9660408266129,MLI,2001,Precipitation,COUNTRY,
0,2158.3932291666665,MDV,2001,Precipitation,COUNTRY,
0,2938.3970375722542,MYS,2001,Precipitation,COUNTRY,
0,519.1248914930555,MWI,2001,Precipitation,COUNTRY,
0,28.763706891185258,MDG,2001,Precipitation,COUNTRY,
0,1015.3681175595239,MKD,2001,Precipitation,COUNTRY,
0,1029.663330078125,LUX,2001,Precipitation,COUNTRY,
0,1005.5742910879629,LTU,2001,Precipitation,COUNTRY,
0,1114.8349609375,LIE,2001,Precipitation,COUNTRY,
0,300.910660091047,LBY,2001,Precipitation,COUNTRY,
0,169.86095252403845,LBR,2001,Precipitation,COUNTRY,
0,8.566499328613281,LSO,2001,Precipitation,COUNTRY,
0,1186.3470703125,LBN,2001,Precipitation,COUNTRY,
0,958.9689390120968,LVA,2001,Precipitation,COUNTRY,
0,371.3700761554622,LAO,2001,Precipitation,COUNTRY,
0,1193.4385162601627,KGZ,2001,Precipitation,COUNTRY,
0,803.2138671875,KWT,2001,Precipitation,COUNTRY,
0,1067.0999644886363,-99,2001,Precipitation,COUNTRY,
0,1743.3115625,KIR,2001,Precipitation,COUNTRY,
0,784.207264957265,KEN,2001,Precipitation,COUNTRY,
0,1179.1164965986395,KAZ,2001,Precipitation,COUNTRY,
0,1081.9592848557693,JOR,2001,Precipitation,COUNTRY,
0,592.0665636446887,JPN,2001,Precipitation,COUNTRY,
0,84.42300415039062,JAM,2001,Precipitation,COUNTRY,
0,984.8871203271028,ITA,2001,Precipitation,COUNTRY,
0,1112.9714133522727,ISR,2001,Precipitation,COUNTRY,
0,1037.0118489583333,IRL,2001,Precipitation,COUNTRY,
0,963.1396531100479,IRQ,2001,Precipitation,COUNTRY,
0,961.449024822695,IRN,2001,Precipitation,COUNTRY,
0,2961.2791706846674,IDN,2001,Precipitation,COUNTRY,
0,828.9287101787102,IND,2001,Precipitation,COUNTRY,
0,575.5356045081967,ISL,2001,Precipitation,COUNTRY,
0,1091.9105643656717,HUN,2001,Precipitation,COUNTRY,
0,148.82327420594262,HND,2001,Precipitation,COUNTRY,
0,60.7405029296875,HTI,2001,Precipitation,COUNTRY,
0,2801.051339285714,GUY,2001,Precipitation,COUNTRY,
0,176.0150146484375,GNB,2001,Precipitation,COUNTRY,
0,155.14597865513392,GIN,2001,Precipitation,COUNTRY,
0,163.06526988636364,GTM,2001,Precipitation,COUNTRY,
0,2038.22998046875,GRD,2001,Precipitation,COUNTRY,
0,1008.3908482142857,GRC,2001,Precipitation,COUNTRY,
0,104.28915462853773,GHA,2001,Precipitation,COUNTRY,
0,1019.2036684782609,DEU,2001,Precipitation,COUNTRY,
0,1263.3413461538462,GEO,2001,Precipitation,COUNTRY,
0,200.02069963727678,GMB,2001,Precipitation,COUNTRY,
0,1944.4586148648648,GAB,2001,Precipitation,COUNTRY,
0,1241.7308201058202,FRA,2001,Precipitation,COUNTRY,
0,831.6133626302084,ALA,2001,Precipitation,COUNTRY,
0,649.8807274919615,FIN,2001,Precipitation,COUNTRY,
0,897.3408203125,FJI,2001,Precipitation,COUNTRY,
0,838.9966176470588,ETH,2001,Precipitation,COUNTRY,
0,880.9496527777778,EST,2001,Precipitation,COUNTRY,
0,1018.3139022435897,ERI,2001,Precipitation,COUNTRY,
0,2168.0700954861113,GNQ,2001,Precipitation,COUNTRY,
0,149.94307767427884,SLV,2001,Precipitation,COUNTRY,
0,880.5886130136986,EGY,2001,Precipitation,COUNTRY,
0,3305.0872395833335,ECU,2001,Precipitation,COUNTRY,
0,324.4051789314516,DOM,2001,Precipitation,COUNTRY,
0,1388.985107421875,DMA,2001,Precipitation,COUNTRY,
0,933.9788028492648,DJI,2001,Precipitation,COUNTRY,
0,281.57050741739715,GRL,2001,Precipitation,COUNTRY,
0,895.5592912946429,DNK,2001,Precipitation,COUNTRY,
0,1110.8412760416666,CZE,2001,Precipitation,COUNTRY,
0,1173.981689453125,-99,2001,Precipitation,COUNTRY,
0,1168.216015625,CYP,2001,Precipitation,COUNTRY,
0,105.9662835536859,CUB,2001,Precipitation,COUNTRY,
0,1073.7617872807018,HRV,2001,Precipitation,COUNTRY,
0,133.07074976679104,CIV,2001,Precipitation,COUNTRY,
0,231.70623779296875,CRI,2001,Precipitation,COUNTRY,
0,1459.6301470588235,COD,2001,Precipitation,COUNTRY,
0,1433.9933742088608,COG,2001,Precipitation,COUNTRY,
0,159.71800537109374,COM,2001,Precipitation,COUNTRY,
0,2694.8337053571427,COL,2001,Precipitation,COUNTRY,
0,686.9642247684056,CHN,2001,Precipitation,COUNTRY,
0,146.06500244140625,MAC,2001,Precipitation,COUNTRY,
0,154.4666748046875,HKG,2001,Precipitation,COUNTRY,
0,1100.5653061224489,CHL,2001,Precipitation,COUNTRY,
0,1010.3952205882352,TCD,2001,Precipitation,COUNTRY,
0,1359.976810515873,CAF,2001,Precipitation,COUNTRY,
0,297.5487060546875,CPV,2001,Precipitation,COUNTRY,
0,902.3568431445144,CAN,2001,Precipitation,COUNTRY,
0,1002.706972361809,CMR,2001,Precipitation,COUNTRY,
0,1006.2309626436781,KHM,2001,Precipitation,COUNTRY,
0,524.1786425159236,MMR,2001,Precipitation,COUNTRY,
0,1905.9190538194443,BDI,2001,Precipitation,COUNTRY,
0,115.7740647230691,BFA,2001,Precipitation,COUNTRY,
0,1035.0390625,BGR,2001,Precipitation,COUNTRY,
0,2439.458984375,BRN,2001,Precipitation,COUNTRY,
0,1515.8595136378574,BRA,2001,Precipitation,COUNTRY,
0,0.6955465710597483,BWA,2001,Precipitation,COUNTRY,
0,1037.6382211538462,BIH,2001,Precipitation,COUNTRY,
0,798.2545977011495,BOL,2001,Precipitation,COUNTRY,
0,454.35787527901783,BTN,2001,Precipitation,COUNTRY,
0,85.7349061129386,BEN,2001,Precipitation,COUNTRY,
0,163.66000205592104,BLZ,2001,Precipitation,COUNTRY,
0,999.0850360576923,BEL,2001,Precipitation,COUNTRY,
0,1050.501926369863,BLR,2001,Precipitation,COUNTRY,
0,1799.77490234375,BRB,2001,Precipitation,COUNTRY,
0,424.64833984375,BGD,2001,Precipitation,COUNTRY,
0,962.8724975585938,BHR,2001,Precipitation,COUNTRY,
0,72.95130456012228,BHS,2001,Precipitation,COUNTRY,
0,1294.122802734375,AZE,2001,Precipitation,COUNTRY,
0,1161.4041819852941,AUT,2001,Precipitation,COUNTRY,
