,Value,SpatialDim,TimeDim,IndicatorCode,SpatialDimType,Comments
0,8.968181818181819,SRB,2001,Temperature,COUNTRY,
0,22.87959133848852,SEN,2001,Temperature,COUNTRY,
0,23.429205560064936,SAU,2001,Temperature,COUNTRY,
0,25.35333251953125,STP,2001,Temperature,COUNTRY,
0,8.319999694824219,SMR,2001,Temperature,COUNTRY,
0,25.97249984741211,WSM,2001,Temperature,COUNTRY,
0,24.924999237060547,VCT,2001,Temperature,COUNTRY,
0,24.292499542236328,LCA,2001,Temperature,COUNTRY,
0,24.530000686645508,KNA,2001,Temperature,COUNTRY,
0,21.59312629699707,RWA,2001,Temperature,COUNTRY,
0,-10.058906032549869,RUS,2001,Temperature,COUNTRY,
0,6.94496446974734,ROU,2001,Temperature,COUNTRY,
0,23.244000244140626,QAT,2001,Temperature,COUNTRY,
0,12.506087593410326,PRT,2001,Temperature,COUNTRY,
0,1.3624623360945352,POL,2001,Temperature,COUNTRY,
0,26.844659788995727,PHL,2001,Temperature,COUNTRY,
0,25.095363534503928,PER,2001,Temperature,COUNTRY,
0,25.106629464285714,PRY,2001,Temperature,COUNTRY,
0,27.21015176005747,PNG,2001,Temperature,COUNTRY,
0,17.730980966605394,PAN,2001,Temperature,COUNTRY,
0,26.703333536783855,PLW,2001,Temperature,COUNTRY,
0,19.428715760030865,PAK,2001,Temperature,COUNTRY,
0,24.072888265520135,OMN,2001,Temperature,COUNTRY,
0,-20.506061243926677,NOR,2001,Temperature,COUNTRY,
0,12.849249267578125,PRK,2001,Temperature,COUNTRY,
0,23.41105491007835,NGA,2001,Temperature,COUNTRY,
0,20.226041666666667,NER,2001,Temperature,COUNTRY,
0,20.646875381469727,NIC,2001,Temperature,COUNTRY,
0,10.896243952252538,NZL,2001,Temperature,COUNTRY,
0,3.3933334350585938,NLD,2001,Temperature,COUNTRY,
0,24.344999313354492,ABW,2001,Temperature,COUNTRY,
0,24.809999465942383,CUW,2001,Temperature,COUNTRY,
0,19.573292802019818,NPL,2001,Temperature,COUNTRY,
0,27.270000457763672,NRU,2001,Temperature,COUNTRY,
0,24.201584265029325,NAM,2001,Temperature,COUNTRY,
0,26.873246116199713,MOZ,2001,Temperature,COUNTRY,
0,18.86521519252232,MAR,2001,Temperature,COUNTRY,
0,10.724706313189339,MNE,2001,Temperature,COUNTRY,
0,7.037409720660971,MNG,2001,Temperature,COUNTRY,
0,5.684285845075335,MDA,2001,Temperature,COUNTRY,
0,7.860000133514404,MCO,2001,Temperature,COUNTRY,
0,21.02010462353801,MEX,2001,Temperature,COUNTRY,
0,27.8739990234375,MUS,2001,Temperature,COUNTRY,
0,21.56091681985294,MRT,2001,Temperature,COUNTRY,
0,16.089998881022137,MLT,2001,Temperature,COUNTRY,
0,21.189476751512096,MLI,2001,Temperature,COUNTRY,
0,26.829999287923176,MDV,2001,Temperature,COUNTRY,
0,26.44109860458815,MYS,2001,Temperature,COUNTRY,
0,28.729861789279514,MWI,2001,Temperature,COUNTRY,
0,26.81374501992032,MDG,2001,Temperature,COUNTRY,
0,12.927142915271578,MKD,2001,Temperature,COUNTRY,
0,2.7800000508626304,LUX,2001,Temperature,COUNTRY,
0,-0.012407408820258247,LTU,2001,Temperature,COUNTRY,
0,4.864999771118164,LIE,2001,Temperature,COUNTRY,
0,18.82086376138088,LBY,2001,Temperature,COUNTRY,
0,24.753077580378605,LBR,2001,Temperature,COUNTRY,
0,21.797500610351562,LSO,2001,Temperature,COUNTRY,
0,20.095001220703125,LBN,2001,Temperature,COUNTRY,
0,-0.41887098743069556,LVA,2001,Temperature,COUNTRY,
0,23.743697478991596,LAO,2001,Temperature,COUNTRY,
0,12.378618441946138,KGZ,2001,Temperature,COUNTRY,
0,21.70769324669471,KWT,2001,Temperature,COUNTRY,
0,11.56909110329368,-99,2001,Temperature,COUNTRY,
0,26.84360107421875,KIR,2001,Temperature,COUNTRY,
0,23.8523929954594,KEN,2001,Temperature,COUNTRY,
0,5.536557982568027,KAZ,2001,Temperature,COUNTRY,
0,21.52288348858173,JOR,2001,Temperature,COUNTRY,
0,15.153003734546703,JPN,2001,Temperature,COUNTRY,
0,18.688999938964844,JAM,2001,Temperature,COUNTRY,
0,10.088410849883177,ITA,2001,Temperature,COUNTRY,
0,21.53136374733665,ISR,2001,Temperature,COUNTRY,
0,0.44700002670288086,IRL,2001,Temperature,COUNTRY,
0,19.8920104104366,IRQ,2001,Temperature,COUNTRY,
0,19.054907746010638,IRN,2001,Temperature,COUNTRY,
0,26.561592182979748,IDN,2001,Temperature,COUNTRY,
0,22.09267403603341,IND,2001,Temperature,COUNTRY,
0,-6.662048840131916,ISL,2001,Temperature,COUNTRY,
0,5.165074590426772,HUN,2001,Temperature,COUNTRY,
0,20.420326107838115,HND,2001,Temperature,COUNTRY,
0,18.95850067138672,HTI,2001,Temperature,COUNTRY,
0,25.924490792410715,GUY,2001,Temperature,COUNTRY,
0,23.6058349609375,GNB,2001,Temperature,COUNTRY,
0,23.723035539899552,GIN,2001,Temperature,COUNTRY,
0,20.806001420454546,GTM,2001,Temperature,COUNTRY,
0,24.219999313354492,GRD,2001,Temperature,COUNTRY,
0,16.52571498325893,GRC,2001,Temperature,COUNTRY,
0,23.717736586084907,GHA,2001,Temperature,COUNTRY,
0,1.947913128396739,DEU,2001,Temperature,COUNTRY,
0,11.108845637394833,GEO,2001,Temperature,COUNTRY,
0,23.150713239397323,GMB,2001,Temperature,COUNTRY,
0,23.98702755489865,GAB,2001,Temperature,COUNTRY,
0,8.431773029307209,FRA,2001,Temperature,COUNTRY,
0,-2.366666793823242,ALA,2001,Temperature,COUNTRY,
0,-5.924919692649719,FIN,2001,Temperature,COUNTRY,
0,26.092498779296875,FJI,2001,Temperature,COUNTRY,
0,24.537601102941178,ETH,2001,Temperature,COUNTRY,
0,-1.1322221402768735,EST,2001,Temperature,COUNTRY,
0,24.688205816806892,ERI,2001,Temperature,COUNTRY,
0,24.413333468967014,GNQ,2001,Temperature,COUNTRY,
0,21.01769080528846,SLV,2001,Temperature,COUNTRY,
0,19.672922909531962,EGY,2001,Temperature,COUNTRY,
0,22.02358194986979,ECU,2001,Temperature,COUNTRY,
0,15.149354996219758,DOM,2001,Temperature,COUNTRY,
0,24.529998779296875,DMA,2001,Temperature,COUNTRY,
0,25.982351864085476,DJI,2001,Temperature,COUNTRY,
0,-17.870660453894132,GRL,2001,Temperature,COUNTRY,
0,-0.7425000326974052,DNK,2001,Temperature,COUNTRY,
0,2.9751665751139322,CZE,2001,Temperature,COUNTRY,
0,19.13833236694336,-99,2001,Temperature,COUNTRY,
0,19.427000427246092,CYP,2001,Temperature,COUNTRY,
0,18.259358723958332,CUB,2001,Temperature,COUNTRY,
0,7.738070303933663,HRV,2001,Temperature,COUNTRY,
0,24.157685692630597,CIV,2001,Temperature,COUNTRY,
0,21.102500915527344,CRI,2001,Temperature,COUNTRY,
0,24.71251838235294,COD,2001,Temperature,COUNTRY,
0,24.32221617879747,COG,2001,Temperature,COUNTRY,
